t_valid,Za_v,Za_a,Ra,Xa,Zb_v,Zb_a,Rb,Xb,Zc_v,Zc_a,Rc,Xc
0.587,624.279429398393,-150.272233000239,-542.118825573249,-309.56741580642,560.670365183669,-155.901694040688,-511.805840216436,-228.923656085466,531.713897769737,-147.792775365307,-449.896935959914,-283.394453183839
0.588,614.388264616086,-153.847779681791,-551.491024805184,-270.796213520967,533.407938347114,-154.194316412155,-480.214148120227,-232.20336052022,568.351857475234,-145.770828102641,-469.910067501162,-319.700425956241
0.589,585.777320337426,-155.79855461521,-534.293219775158,-240.137094852064,522.216417600808,-150.762507901982,-455.687432111528,-255.066561954762,609.768140788444,-147.392975735852,-513.66035190633,-328.588235334227
0.59,553.566209705525,-155.694035237961,-504.498339521157,-227.852965633842,537.906031794758,-147.065567189586,-451.460919696805,-292.448178362763,624.588674516203,-151.172991865937,-547.189329448228,-301.155856778356
0.591,528.927108735261,-153.550524664,-473.562975647082,-235.588612736956,578.546699001493,-145.797372675165,-478.489823743808,-325.213424537093,609.073071833209,-154.466857421338,-549.588623576444,-262.530668051738
0.592,522.963133695638,-149.878824792402,-452.345337540449,-262.438821080608,616.178378153084,-148.1320726701,-523.300184799369,-325.319397350221,578.593578577403,-155.970004313073,-528.44825958925,-235.611897212553
0.593,545.247967151412,-146.481972554992,-454.579838780351,-301.085562352595,623.470385209203,-152.004290230871,-550.513591399169,-292.660395198431,547.178758874475,-155.401270147172,-497.519735034163,-227.768978166359
0.594,588.339360018692,-146.033761074858,-487.949207940248,-328.707731910413,603.143149910833,-154.964263093146,-546.474239640145,-255.24020979087,525.631216735903,-152.842265738783,-467.682121013879,-239.920006859006
0.595,620.649822974655,-148.954900256598,-531.748953144557,-320.076949479555,571.404260816109,-156.014615215842,-522.063034218974,-232.277888704204,525.336294283192,-149.015167472003,-450.37270299414,-270.44897945629
0.596,620.674422890008,-152.785999949487,-551.968654287818,-283.843872425564,541.285776883749,-154.985247220255,-490.512596874959,-228.883561147645,553.894963186735,-146.066135684399,-459.556951339765,-309.203878887273
0.597,596.421152163427,-155.365359018517,-542.137439560749,-248.606491014344,523.472734246242,-152.042872301485,-462.382750970903,-245.409647536149,597.717117578545,-146.47329714125,-498.274023992444,-330.13444179725
0.598,564.058738418364,-155.956543908038,-515.11914355325,-229.814116909913,529.378801108333,-148.172027488774,-449.778929910895,-279.17884817999,623.509146206699,-149.852690622922,-539.17144481891,-313.141834470095
0.599,535.727233691586,-154.47281002931,-483.430013511844,-230.865958847938,563.577154749114,-145.808274019546,-466.16945740104,-316.710035113394,616.753381322001,-153.532232186187,-552.10851876207,-274.883460547328
0.6,522.197411525288,-151.190012042637,-457.561218605485,-251.65028875798,606.288018642426,-147.037488379948,-508.691861819131,-329.87535717047,589.446585939795,-155.693709875027,-537.19691690092,-242.624710506218
0.601,534.598350753918,-147.400652116456,-450.376940189977,-288.020847116877,624.887144070135,-150.722018961446,-545.062360192319,-305.599355898713,557.083416420456,-155.820046562252,-508.20685812125,-228.183527471234
0.602,573.427887782156,-145.745237914396,-473.962789025302,-322.767435014224,612.054759791064,-154.167749233575,-550.894358591091,-266.695396764563,531.07730748167,-153.892735509704,-476.89243988314,-233.702176507379
0.603,613.178274915279,-147.739887552591,-518.524169208826,-327.292350620013,582.375268227512,-155.8979537711,-531.603555764528,-237.820546928934,522.432745007994,-150.331878346721,-453.945492318935,-258.591305074062
0.604,624.214021082522,-151.588384170192,-549.02877142286,-297.002613230787,550.458386756847,-155.561479632063,-501.140464977301,-227.7337698131,541.447968694473,-146.768727450524,-452.902450522274,-296.724237490452
0.605,606.146046066821,-154.725990131332,-548.123510996852,-258.792669631356,527.274482209863,-153.206808012195,-470.665970277369,-237.6802979057,583.519718425414,-145.909270833051,-483.242461003453,-327.06572072689
0.606,574.926242624791,-156.005212925711,-525.242530978944,-233.7957829164,524.081275068211,-149.445292901445,-451.309529642589,-266.422392697962,618.628305603212,-148.557026194948,-527.788790401446,-322.707256224708
0.607,544.090352873097,-155.205705327504,-493.935691565558,-228.170648171989,549.575357099985,-146.255290764908,-456.983401498411,-305.285512080934,622.205673975656,-152.423316214242,-551.518157722649,-288.041008243123
0.608,524.335089373493,-152.450202185137,-464.880301506914,-242.515136061958,593.27356103876,-146.236303573945,-493.210132334402,-329.723040733118,599.799916649708,-155.19624360406,-544.468360353749,-251.623020780487
0.609,527.069108380037,-148.584908030971,-449.807909052687,-274.726573090731,622.444861484939,-149.405395546843,-535.794287199892,-316.799759142844,567.668853535777,-156.016998940732,-518.659782452575,-230.737854156769
0.61,558.515951698674,-145.907217937026,-462.524348764103,-313.067556770449,618.996581221047,-153.172409191661,-552.373109300415,-279.35768413476,538.365378127352,-154.759488794328,-486.96536217576,-229.569197426915
0.611,602.006485560571,-146.725156740062,-503.306522390111,-330.294343240332,593.110844054483,-155.545406570307,-539.902649041619,-245.531266629861,522.601440834713,-151.64056174747,-459.881462323425,-248.236392524921
0.612,624.286438025627,-150.274481470412,-542.137059941487,-309.549616282635,560.663459407082,-155.904350309763,-511.810148670921,-228.897108832257,531.7082182179,-147.794101202835,-449.898687966012,-283.381015396083
0.613,614.390435908902,-153.850186756795,-551.504349891856,-270.774001312334,533.399611421915,-154.196977806841,-480.217436775581,-232.177429742301,568.344716139816,-145.772291199358,-469.912326653783,-319.68440941478
0.614,585.779303583498,-155.80078676047,-534.304383668678,-240.117092476155,522.205147937725,-150.765180841341,-455.689496682266,-255.039799141475,609.758193631931,-147.393925718059,-513.657420495308,-328.574358511711
0.615,553.572096007974,-155.696129426343,-504.512031951672,-227.836948484341,537.88930008258,-147.068073816586,-451.459670337583,-292.419331101774,624.58172807694,-151.172947882675,-547.183012634531,-301.152927483321
0.616,528.938123426614,-153.552725633246,-473.581887180668,-235.575326697141,578.523499968184,-145.799456570378,-478.482464364277,-325.18298127566,609.073949187914,-154.466111304437,-549.585996467795,-262.538203059787
0.617,522.978341128572,-149.881410293195,-452.370334020362,-262.426039462359,616.150881748286,-148.133722030314,-523.286197258991,-325.289816682623,578.599911395314,-155.969052909068,-528.450131074584,-235.623251046921
0.618,545.264949179472,-146.485101723101,-454.61044031026,-301.070112041371,623.441232770419,-152.005730271534,-550.495205346662,-292.632875133052,547.185734904335,-155.400324773514,-497.522319679657,-227.780091104053
0.619,588.354259337414,-146.037249328208,-487.981576766693,-328.686347779718,603.113514480251,-154.9656386431,-546.453515952378,-255.214549452034,525.635629933053,-152.841248246919,-467.681786921798,-239.930326629943
0.62,620.660582756626,-148.958239686942,-531.776826515498,-320.051504868983,571.374982590888,-156.015957097221,-522.041723776416,-232.253760717208,525.337333928327,-149.013844807097,-450.367350877154,-270.459911415384
0.621,620.683287623226,-152.788918254447,-551.990994539186,-283.819811645376,541.257165117053,-154.986584217152,-490.492009503895,-228.860017048369,553.894305652871,-146.064311365816,-459.546560409538,-309.218144115831
0.622,596.429590125265,-155.3680046862,-542.156588676536,-248.584974066441,523.443429210412,-152.044219354512,-462.362635128112,-245.385038706405,597.718294322631,-146.471094096623,-498.262310771027,-330.154250363482
0.623,564.065439316949,-155.959123198744,-515.135608229304,-229.79365736688,529.345612719129,-148.173244068931,-449.756659306444,-279.151795828895,623.51355627098,-149.850521183477,-539.163401135458,-313.164464346979
